taxon_name,aus_native
Abelia x grandiflora,FALSE
Abelmoschus ficulneus,TRUE
Abelmoschus manihot,TRUE
Abelmoschus moschatus,TRUE
Abildgaardia ovata,TRUE
Abildgaardia vaginata,TRUE
Abrodictyum brassii,TRUE
Abrodictyum caudatum,TRUE
Abrodictyum obscurum,TRUE
Abroma molle,TRUE
Abroma molle,TRUE
Abroma molle,TRUE
Abrophyllum ornans,TRUE
Abrophyllum ornans var. microcarpum,TRUE
Abrophyllum ornans var. ornans,TRUE
Abrotanella forsteroides,TRUE
Abrotanella nivigena,TRUE
Abrotanella scapigera,TRUE
Abrus precatorius,TRUE
Abrus precatorius subsp. africanus,FALSE
Abutilon indicum subsp. albescens,TRUE
Abutilon amplum,TRUE
Abutilon indicum var. australiense,TRUE
Abutilon auritum,TRUE
Abutilon calliphyllum,TRUE
Abutilon cryptopetalum,TRUE
Abutilon cunninghamii,TRUE
Abutilon fraseri,TRUE
Abutilon fraseri subsp. fraseri,TRUE
Abutilon fraseri subsp. diplotrichum,TRUE
Abutilon fugax,TRUE
Abutilon geranioides,TRUE
Abutilon grandifolium,FALSE
Abutilon guineense,FALSE
Abutilon halophilum,TRUE
Abutilon hannii,TRUE
Abutilon indicum,TRUE
Abutilon indicum var. australiense,TRUE
Abutilon julianae,TRUE
Abutilon lepidum,TRUE
Abutilon leucopetalum,TRUE
Abutilon listeri,TRUE
Abutilon macrum,TRUE
Abutilon malvifolium,TRUE
Abutilon micropetalum,TRUE
Abutilon nobile,TRUE
Abutilon otocarpum,TRUE
Abutilon oxycarpum,TRUE
Abutilon oxycarpum var. oxycarpum,TRUE
Abutilon oxycarpum var. incanum,TRUE
Abutilon oxycarpum var. oxycarpum,TRUE
Abutilon oxycarpum var. subsagittatum,TRUE
Abutilon persicum,TRUE
Abutilon pictum,FALSE
Abutilon sp. Cape Range (A.S.George 1312),TRUE
Abutilon sp. Cook District (A.MacDonald 10),TRUE
Abutilon sp. Dioicum (A.A.Mitchell PRP 1618),TRUE
Abutilon sp. Hamelin (A.M.Ashby 2196),TRUE
Abutilon sp. Mataranka (R.M.Barker 877),TRUE
Abutilon sp. Onslow  (F.Smith s.n. 10/09/1961),TRUE
Abutilon sp. Pilbara (W.R.Barker 2025),TRUE
Abutilon sp. Pritzelianum (S.van Leeuwen 5095),TRUE
Abutilon sp. Quobba (H.Demarz 3858),TRUE
Abutilon sp. Warburton (A.S.George 8164),TRUE
Abutilon subviscosum,TRUE
Abutilon theophrasti,FALSE
Abutilon tubulosum,TRUE
Abutilon tubulosum var. breviflorum,TRUE
Abutilon tubulosum var. tubulosum,TRUE
Abutilon x hybridum,FALSE
Acacia abbatiana,TRUE
Acacia abbreviata,TRUE
Acacia abrupta,TRUE
Acacia acanthaster,TRUE
Acacia acanthoclada,TRUE
Acacia acanthoclada subsp. acanthoclada,TRUE
Acacia adunca,TRUE
Acacia acellerata,TRUE
Acacia acinacea,TRUE
Acacia aciphylla,TRUE
Acacia acoma,TRUE
Acacia acradenia,TRUE
Acacia acrionastes,TRUE
Acacia acuaria,TRUE
Acacia aculeatissima,TRUE
Acacia aculeiformis,TRUE
Acacia acuminata,TRUE
Acacia burkittii,TRUE
Acacia acutata,TRUE
Acacia adenogonia,TRUE
Acacia adinophylla,TRUE
Acacia adjutrices,TRUE
Acacia adnata,TRUE
Acacia adoxa,TRUE
Acacia adoxa var. adoxa,TRUE
Acacia adoxa var. adoxa x Acacia spondylophylla,TRUE
Acacia adoxa var. subglabra,TRUE
Acacia adsurgens,TRUE
Acacia adsurgens x Acacia rhodophloia,TRUE
Acacia adunca,TRUE
Acacia aemula,TRUE
Acacia aemula subsp. muricata,TRUE
Acacia aestivalis,TRUE
Acacia sporadica,TRUE
Acacia alata,TRUE
Acacia alata var. alata,TRUE
Acacia alata var. biglandulosa,TRUE
Acacia alata var. platyptera,TRUE
Acacia alata var. tetrantha,TRUE
Acacia alaticaulis,TRUE
Senegalia albizioides,TRUE
Acacia alcockii,TRUE
Acacia alexandri,TRUE
Acacia alleniana,TRUE
Acacia alpina,TRUE
Acacia amanda,TRUE
Acacia amblygona,TRUE
Acacia amblyophylla,TRUE
Acacia amentifera,TRUE
Acacia ammobia,TRUE
Acacia ammophila,TRUE
Acacia amoena,TRUE
Acacia ampliata,TRUE
Acacia ampliceps,TRUE
Acacia ampliceps x Acacia bivenosa,TRUE
Acacia amputata,TRUE
Acacia amyctica,TRUE
Acacia anarthros,TRUE
Acacia anasilla,TRUE
Acacia anastema,TRUE
Acacia anastomosa,TRUE
Acacia anaticeps,TRUE
Acacia anceps,TRUE
Acacia ancistrocarpa,TRUE
Acacia ancistrocarpa x Acacia citrinoviridis,TRUE
Acacia ancistrophylla,TRUE
Acacia ancistrophylla var. ancistrophylla,TRUE
Acacia ancistrophylla var. lissophylla,TRUE
Acacia ancistrophylla var. perarcuata,TRUE
Acacia andrewsii,TRUE
Acacia aneura,TRUE
Acacia aneura var. aneura,TRUE
Acacia caesaneura,TRUE
Acacia pteraneura,TRUE
Acacia aneura,TRUE
Acacia ayersiana,TRUE
Acacia aneura var. major,TRUE
Acacia incurvaneura,TRUE
Acacia aptaneura,TRUE
Acacia anfractuosa,TRUE
Acacia angusta,TRUE
Acaciella angustissima,FALSE
Acacia anomala,TRUE
Acacia anserina,TRUE
Acacia anthochaera,TRUE
Acacia aphanoclada,TRUE
Acacia aphanoclada x Acacia pyrifolia var. pyrifolia,TRUE
Acacia aphylla,TRUE
Acacia applanata,TRUE
Acacia aprepta,TRUE
Acacia aprica,TRUE
Acacia aptaneura,TRUE
Acacia arafurica,TRUE
Acacia araneosa,TRUE
Acacia arbiana,TRUE
Acacia arcuatilis,TRUE
Acacia areolata,TRUE
Acacia argentina,TRUE
Acacia argutifolia,TRUE
Acacia argyraea,TRUE
Acacia argyrodendron,TRUE
Acacia argyrophylla,TRUE
Acacia argyrotricha,TRUE
Acacia arida,TRUE
Acacia aristulata,TRUE
Acacia paradoxa,TRUE
Acacia armillata,TRUE
Acacia armitii,TRUE
Acacia arrecta,TRUE
Acacia ascendens,TRUE
Acacia asepala,TRUE
Acacia ashbyae,TRUE
Acacia asparagoides,TRUE
Acacia aspera,TRUE
Acacia aspera subsp. parviceps,TRUE
Acacia aspera subsp. aspera,TRUE
Acacia asperulacea,TRUE
Acacia assimilis,TRUE
Acacia assimilis subsp. assimilis,TRUE
Acacia assimilis subsp. atroviridis,TRUE
Acacia ataxiphylla,TRUE
Acacia ataxiphylla subsp. magna,TRUE
Acacia atkinsiana,TRUE
Acacia atopa,TRUE
Acacia atrox,TRUE
Acacia attenuata,TRUE
Acacia aulacocarpa,TRUE
Acacia aulacocarpa x Acacia celsa,TRUE
Acacia aulacocarpa x Acacia disparrima,TRUE
Acacia aulacophylla,TRUE
Acacia auratiflora,TRUE
Acacia aureocrinita,TRUE
Acacia auricoma,TRUE
Acacia auriculiformis,TRUE
Acacia auripila,TRUE
Acacia auronitens,TRUE
Acacia ausfeldii,TRUE
Acacia awestoniana,TRUE
Acacia axillaris,TRUE
Acacia ayersiana,TRUE
Acacia ayersiana,TRUE
Acacia baeuerlenii,TRUE
Acacia baileyana,FALSE
Acacia bakeri,TRUE
Acacia balsamea,TRUE
Acacia bancroftiorum,TRUE
Acacia bancroftiorum,TRUE
Acacia barakulensis,TRUE
Acacia barattensis,TRUE
Acacia barbinervis,TRUE
Acacia barrettiorum,TRUE
Acacia barringtonensis,TRUE
Acacia bartlei,TRUE
Acacia basedowii,TRUE
Acacia baueri,TRUE
Acacia baueri subsp. aspera,TRUE
Acacia baueri subsp. baueri,TRUE
Acacia baxteri,TRUE
Acacia beadleana,TRUE
Acacia beauverdiana,TRUE
Acacia beckleri,TRUE
Acacia beckleri subsp. beckleri,TRUE
Acacia benthamii,TRUE
Acacia besleyi,TRUE
Acacia betchei,TRUE
Acacia bidentata,TRUE
Vachellia bidwillii,TRUE
Acacia bifaria,TRUE
Acacia biflora,TRUE
Acacia binata,TRUE
Acacia binervata,TRUE
Acacia binervia,TRUE
Acacia bivenosa,TRUE
Acacia cupularis,TRUE
Acacia bivenosa,TRUE
Acacia blakei,TRUE
Acacia blakei subsp. diphylla,TRUE
Acacia blakelyi,TRUE
Acacia blaxellii,TRUE
Acacia blayana,TRUE
Acacia boormanii,TRUE
Acacia boormanii var. Mount Typo (F.E.Bienvenu 11),TRUE
Acacia botrydion,TRUE
Acacia brachybotrya,TRUE
Acacia neobrachycarpa,TRUE
Acacia brachyclada,TRUE
Acacia brachyphylla,TRUE
Acacia brachyphylla var. brachyphylla,TRUE
Acacia brachyphylla var. recurvata,TRUE
Acacia brachypoda,TRUE
Acacia brachystachya,TRUE
Acacia bracteolata,TRUE
Acacia brassii,TRUE
Acacia brockii,TRUE
Acacia bromilowiana,TRUE
Acacia browniana,TRUE
Acacia browniana var. browniana,TRUE
Acacia browniana var. endlicheri,TRUE
Acacia browniana var. glaucescens,TRUE
Acacia browniana var. intermedia,TRUE
Acacia browniana var. obscura,TRUE
Acacia brownii,TRUE
Acacia brumalis,TRUE
Acacia brunioides,TRUE
Acacia brunioides subsp. brunioides,TRUE
Acacia bulgaensis,TRUE
Acacia burbidgeae,TRUE
Acacia burdekensis,TRUE
Acacia burkittii,TRUE
Acacia burrana,TRUE
Acacia burrowii,TRUE
Acacia burrowii,TRUE
Acacia burrowsiana,TRUE
Acacia buxifolia,TRUE
Acacia buxifolia subsp. buxifolia,TRUE
Acacia buxifolia subsp. pubiflora,TRUE
Acacia bynoeana,TRUE
Acacia caerulescens,TRUE
Acacia caesaneura,TRUE
Acacia caesariata,TRUE
Acacia caesiella,TRUE
Acacia calamifolia,TRUE
Acacia calantha,TRUE
Acacia calcarata,TRUE
Acacia calcicola,TRUE
Acacia decora,TRUE
Acacia calligera,TRUE
Acacia calyculata,TRUE
Acacia cambagei,TRUE
Acacia camptocarpa,TRUE
Acacia camptoclada,TRUE
Acacia campylophylla,TRUE
Acacia cana,TRUE
Acacia cangaiensis,TRUE
Acacia capillaris,TRUE
Acacia cardiophylla,TRUE
Acacia carens,TRUE
Acacia carneorum,TRUE
Acacia carnosula,TRUE
Acacia caroleae,TRUE
Acacia cassicula,TRUE
Acacia castanostegia,TRUE
Acacia cataractae,TRUE
Acacia catenulata,TRUE
Acacia cavealis,TRUE
Acacia cedroides,TRUE
Acacia celastrifolia,TRUE
Acacia celsa,TRUE
Acacia centrinervia,TRUE
Acacia cerastes,TRUE
Acacia chalkeri,TRUE
Acacia chamaeleon,TRUE
Acacia chapmanii,TRUE
Acacia chapmanii subsp. australis,TRUE
Acacia chapmanii subsp. chapmanii,TRUE
Acacia chartacea,TRUE
Acacia cheelii,TRUE
Acacia chinchillensis,TRUE
Acacia chippendalei,TRUE
Acacia chisholmii,TRUE
Acacia chisholmii x Acacia monticola,TRUE
Acacia chrysella,TRUE
Acacia chrysocephala,TRUE
Acacia chrysochaeta,TRUE
Acacia chrysopoda,TRUE
Acacia chrysotricha,TRUE
Acacia cincinnata,TRUE
Acacia citrinoviridis,TRUE
Acacia citrinoviridis x Acacia tumida var. pilbarensis,TRUE
Acacia citriodora,TRUE
Acacia clandullensis,TRUE
Vachellia clarksoniana,TRUE
Acacia claviseta,TRUE
Acacia clelandii,TRUE
Acacia sibirica,TRUE
Acacia clunies-rossiae,TRUE
Acacia clydonophora,TRUE
Acacia coatesii,TRUE
Acacia cochlearis,TRUE
Acacia cochlocarpa,TRUE
Acacia cochlocarpa subsp. cochlocarpa,TRUE
Acacia cochlocarpa subsp. velutinosa,TRUE
Acacia cockertoniana,TRUE
Acacia cognata,TRUE
Acacia colei,TRUE
Acacia colei var. colei,TRUE
Acacia colei var. ileocarpa,TRUE
Acacia collegialis,TRUE
Acacia colletioides,TRUE
Acacia comans,TRUE
Acacia complanata,TRUE
Acacia concolorans,TRUE
Acacia concurrens,TRUE
Acacia conferta,TRUE
Acacia confluens,TRUE
Acacia congesta,TRUE
Acacia congesta subsp. congesta,TRUE
Acacia congesta subsp. wonganensis,TRUE
Acacia conjunctifolia,TRUE
Acacia conniana,TRUE
Acacia consanguinea,TRUE
Acacia consobrina,TRUE
Acacia conspersa,TRUE
Acacia constablei,TRUE
Acacia continua,TRUE
Acacia convallium,TRUE
Acacia coolgardiensis,TRUE
Acacia coolgardiensis,TRUE
Acacia effusifolia,TRUE
Acacia coriacea,TRUE
Acacia coriacea subsp. coriacea,TRUE
Acacia coriacea subsp. pendens,TRUE
Acacia costata,TRUE
Acacia costiniana,TRUE
Acacia courtii,TRUE
Acacia covenyi,TRUE
Acacia cowaniana,TRUE
Acacia cowleana,TRUE
Acacia cowleana x Acacia elachantha,TRUE
Acacia cowleana x Acacia hammondii,TRUE
Acacia cracentis,TRUE
Acacia craspedocarpa,TRUE
Acacia crassa,TRUE
Acacia crassa subsp. crassa,TRUE
Acacia crassicarpa,TRUE
Acacia crassicarpa x Acacia midgleyi,TRUE
Acacia crassistipula,TRUE
Acacia crassiuscula,TRUE
Acacia crassuloides,TRUE
Acacia cremiflora,TRUE
Acacia crenulata,TRUE
Acacia cretacea,TRUE
Acacia cretata,TRUE
Acacia crispula,TRUE
Acacia crombiei,TRUE
Acacia cultriformis,TRUE
Acacia cummingiana,TRUE
Acacia cuneifolia,TRUE
Acacia trinervata,TRUE
Acacia cupularis,TRUE
Acacia curranii,TRUE
Acacia curryana,TRUE
Acacia curvata,TRUE
Acacia julifera subsp. curvinervia,TRUE
Acacia cuspidifolia,TRUE
Acacia cuthbertsonii,TRUE
Acacia cuthbertsonii subsp. cuthbertsonii,TRUE
Acacia cuthbertsonii subsp. linearis,TRUE
Acacia cyclocarpa,TRUE
Acacia cyclops,TRUE
Acacia cylindrica,TRUE
Acacia cyperophylla,TRUE
Acacia cyperophylla var. cyperophylla,TRUE
Acacia cyperophylla var. omearana,TRUE
Acacia dacrydioides,TRUE
Acacia dallachiana,TRUE
Acacia dangarensis,TRUE
Acacia daphnifolia,TRUE
Acacia daviesii,TRUE
Acacia daviesioides,TRUE
Acacia daweana,TRUE
Acacia dawsonii,TRUE
Acacia dawsonii,TRUE
Acacia dealbata,TRUE
Acacia dealbata subsp. dealbata,TRUE
Acacia dealbata subsp. subalpina,TRUE
Acacia deanei,TRUE
Acacia deanei subsp. deanei,TRUE
Acacia deanei subsp. paucijuga,TRUE
Acacia debilis,TRUE
Acacia declinata,TRUE
Acacia decora,TRUE
Acacia decurrens,TRUE
Acacia deficiens,TRUE
Acacia deflexa,TRUE
Acacia delibrata,TRUE
Acacia delicatula,TRUE
Acacia delphina,TRUE
Acacia deltoidea,TRUE
Acacia demissa,TRUE
Acacia dempsteri,TRUE
Acacia densiflora,TRUE
Acacia denticulosa,TRUE
Acacia dentifera,TRUE
Acacia depressa,TRUE
Acacia dermatophylla,TRUE
Acacia derwentiana,TRUE
Acacia desertorum,TRUE
Acacia desertorum var. desertorum,TRUE
Acacia desertorum var. nudipes,TRUE
Acacia desmondii,TRUE
Acacia deuteroneura,TRUE
Acacia diallaga,TRUE
Acacia diaphana,TRUE
Acacia diaphyllodinea,TRUE
Acacia diastemata,TRUE
Acacia dictyocarpa,TRUE
Acacia dictyoneura,TRUE
Acacia dictyophleba,TRUE
Acacia didyma,TRUE
Acacia dielsii,TRUE
Acacia dietrichiana,TRUE
Acacia difficilis,TRUE
Acacia difformis,TRUE
Acacia genistifolia,TRUE
Acacia dilatata,TRUE
Acacia dilloniorum,TRUE
Acacia dimidiata,TRUE
Acacia diminuta,TRUE
Acacia dimorpha,TRUE
Acacia terminalis,TRUE
Acacia disparrima,TRUE
Acacia disparrima subsp. calidestris,TRUE
Acacia disparrima subsp. disparrima,TRUE
Acacia dissimilis,TRUE
Acacia dissona,TRUE
Acacia dissona var. dissona,TRUE
Acacia dissona var. indoloria,TRUE
Acacia distans,TRUE
Acacia disticha,TRUE
Vachellia ditricha,TRUE
Acacia divergens,TRUE
Acacia dodonaeifolia,TRUE
Acacia dodonaeifolia x Acacia paradoxa,TRUE
Acacia dolichophylla,TRUE
Acacia donaldsonii,TRUE
Acacia doratoxylon,TRUE
Acacia doratoxylon,TRUE
Acacia doreta,TRUE
Acacia dorothea,TRUE
Acacia dorsenna,TRUE
Vachellia douglasica,TRUE
Acacia drepanocarpa,TRUE
Acacia drepanocarpa subsp. latifolia,TRUE
Acacia drepanophylla,TRUE
Acacia drewiana,TRUE
Acacia drewiana subsp. minor,TRUE
Acacia drummondii,TRUE
Acacia drummondii subsp. candolleana,TRUE
Acacia drummondii subsp. elegans,TRUE
Acacia dunnii,TRUE
Acacia dura,TRUE
Acacia durabilis,TRUE
Acacia duriuscula,TRUE
Acacia echinula,TRUE
Acacia echinuliflora,TRUE
