taxon_name,med_w,med_w_lwr,med_w_upr,med_w_warnings,med_w_messages,med_wo,med_wo_lwr,med_wo_upr,med_wo_warnings,med_wo_messages,num_unburnt_pixels,num_pixels
Abelmoschus ficulneus,8863.48058283824,7273.617046383563,10800.855687255505,NA,NA,2634.512570821606,2309.8537124411423,3004.803485360947,NA,NA,248,401
Abelmoschus moschatus,1073.8957418927641,980.9290353481767,1175.6732881763146,NA,NA,940.3457513829682,871.1563449384834,1015.0303527967075,NA,NA,25,125
Abrodictyum caudatum,13016742.998457583,2626.5902783956744,64507814439.70989,NA,NA,589976.3806984526,3330.8498101429905,104499497.01187609,NA,NA,178,250
Abrotanella forsteroides,7131.276661635692,0,Inf,Ran out of iterations and did not converge,NA,16281.423791777735,0,Inf,Ran out of iterations and did not converge,NA,133,149
Abrotanella nivigena,9716343.531097991,1454.5743258669063,64903752208.08612,NA,NA,1252883.5221154862,1431.9426191860957,1096215098.9546766,NA,NA,23,48
Abutilon calliphyllum,10519.10455938283,7372.4251846507195,15008.841454451616,Ran out of iterations and did not converge,NA,7954.292930758179,2603.8979305704056,24298.485468840758,NA,NA,41,44
Abutilon fraseri,47740.026891476045,26295.54433755543,86672.86511897085,NA,NA,6813.3164555091535,5877.563613754915,7898.048268550399,NA,NA,619,707
Abutilon fraseri subsp. diplotrichum,8568.592647433727,7668.687360174409,9574.100039460409,Ran out of iterations and did not converge,NA,4284.847992702349,0,Inf,Ran out of iterations and did not converge,NA,54,56
Abutilon fraseri subsp. fraseri,28248.2900222309,19021.324043125354,41951.12219164726,NA,NA,6830.9085002681795,5699.360051829079,8187.114082055794,NA,NA,259,384
Abutilon halophilum,9044.071361944008,8691.084038570805,9411.39522261327,Ran out of iterations and did not converge,NA,15994.22752502333,0,Inf,Ran out of iterations and did not converge,NA,607,612
Abutilon hannii,3097.8115214357417,2875.8370764096458,3336.919292493703,NA,NA,1979.6369581661381,1866.9024726042726,2099.179011033418,NA,NA,227,595
Abutilon leucopetalum,43898.71033779445,32768.73724138664,58809.003078936876,NA,NA,4561.004904990165,4121.799990623385,5047.009993368976,NA,NA,1030,1236
Abutilon malvifolium,201249.14268462223,26935.870268906638,1503616.4425712996,NA,NA,7620.27419291435,5094.815341995833,11397.582616301213,NA,NA,396,421
Abutilon otocarpum,33969.04079586955,27553.528774491173,41878.32861755678,NA,NA,4789.099803260695,4374.278930031833,5243.258898770032,NA,NA,1231,1614
Abutilon oxycarpum,222365.16819019668,81312.45706578164,608102.0031685001,NA,NA,12995.079380724399,9699.519411854437,17410.356218777022,NA,NA,1758,1927
Abutilon oxycarpum var. incanum,65391.76065149659,2745.872494852076,1557276.373582297,NA,NA,8037.859083471806,3160.8934774268996,20439.53050209814,NA,NA,33,37
Abutilon oxycarpum var. oxycarpum,38660.98245701975,17064.77105604304,87588.14048153852,NA,NA,6945.816626977945,4868.244578608277,9910.01331929698,NA,NA,100,139
Abutilon oxycarpum var. subsagittatum,9990.647432725478,7232.832788257206,13799.992208733833,Ran out of iterations and did not converge,NA,11974.532988511472,2704.090672554832,53026.86102514262,NA,NA,43,50
