non_matching_taxa,matched_with_gbif,no_occurrences
Alchemilla sp. 1,NA,
Caladenia rosella,NA,
Caladenia sp. aff. colorata (Lower Glenelg River),Caladenia colorata D.L.Jones,312
Corunastylis sp. aff. rufa (Goldfields),Genoplesium rufum (R.Br.) D.L.Jones & M.A.Clem.,735
Diuris basaltica,Diuris basaltica D.L.Jones,74
Eucalyptus sp. Gippsland Lakes (H.I.Aston 1661),NA,
Pterostylis basaltica,Pterostylis basaltica D.L.Jones & M.A.Clem.,39
Pterostylis sp. aff. parviflora (Northern Victoria),Pterostylis rubescens (D.L.Jones) G.N.Backh.,425
Pterostylis sp. aff. revoluta,NA,
Sphagnum cristatum,NA,
Acacia drewiana subsp. minor,Acacia drewiana subsp. minor Maslin,51
Banksia pteridifolia subsp. inretita,Banksia pteridifolia subsp. inretita (A.S.George) A.R.Mast & K.R.Thiele,15
Banksia rufa subsp. chelomacarpa,Banksia rufa subsp. chelomacarpa (A.S.George) A.R.Mast & K.R.Thiele,30
Beyeria sulcata var. truncata,Beyeria sulcata var. truncata (Airy Shaw) Halford & R.J.F.Hend.,8
Bossiaea spinosa,Bossiaea spinosa (Turcz.) Domin,54
Calectasia pignattiana,Calectasia pignattiana K.W.Dixon & R.L.Barrett,48
Calytrix superba,Calytrix superba C.A.Gardner & A.S.George,49
Leucopogon obtectus,Styphelia obtecta (Benth.) F.Muell.,31
Leucopogon sp. Bifid Eneabba (M.Hislop 1927),NA,
Synaphea drummondii,Synaphea drummondii Meisn.,28
Xanthosia eichleri,Xanthosia eichleri J.M.Hart & Henwood,61
Daviesia localis,Daviesia localis Hislop,7
Drosera grievei,Drosera grievei Lowrie & N.G.Marchant,38
Isopogon nutans,NA,
Hakea lasiocarpha,Hakea lasiocarpha R.Br.,45
Hakea oldfieldii,Hakea oldfieldii Benth.,97
Corymborkis veratrifolia,Corymborkis veratrifolia (Reinw.) Blume,846
Eucalyptus articulata,Eucalyptus articulata Brooker & Hopper,29
Eucalyptus jimberlanica,Eucalyptus jimberlanica L.A.S.Johnson & K.D.Hill,48
Eucalyptus erythronema subsp. inornata,Eucalyptus erythronema subsp. inornata D.Nicolle & M.E.French,68
Eucalyptus spathulata subsp. salina,Eucalyptus spathulata subsp. salina D.Nicolle & Brooker,26
Eucalyptus mimica subsp. continens,Eucalyptus mimica subsp. continens Brooker & Hopper,34
Eucalyptus sargentii subsp. onesis,Eucalyptus sargentii subsp. onesis D.Nicolle,22
Eucalyptus mcquoidii,Eucalyptus mcquoidii Brooker & Hopper,36
Eucalyptus arachnaea subsp. arrecta,Eucalyptus arachnaea subsp. arrecta Brooker & Hopper,40
Eucalyptus praetermissa,Eucalyptus praetermissa Brooker & Hopper,37
Eucalyptus jutsonii subsp. kobela,Eucalyptus jutsonii subsp. kobela D.Nicolle & M.E.French,18
Eucalyptus foliosa,Eucalyptus foliosa L.A.S.Johnson & K.D.Hill,68
Eucalyptus quaerenda,Eucalyptus quaerenda (L.A.S.Johnson & K.D.Hill) Byrne,66
Eucalyptus recta,Eucalyptus recta L.A.S.Johnson & K.D.Hill,54
Eucalyptus rugulata,Eucalyptus rugulata D.Nicolle,32
Eucalyptus purpurata,Eucalyptus purpurata D.Nicolle,30
Eucalyptus goniantha subsp. kynoura,Eucalyptus goniantha subsp. kynoura D.Nicolle & M.E.French,7
Eucalyptus annettae,Eucalyptus annettae D.Nicolle & M.E.French,18
Eucalyptus luculenta,Eucalyptus luculenta L.A.S.Johnson & K.D.Hill,67
Eucalyptus rhomboidea,Eucalyptus rhomboidea Hopper & D.Nicolle,65
Eucalyptus relicta,Eucalyptus relicta Hopper & Ward.-Johnson,26
Eucalyptus macrocarpa subsp. elachantha,Eucalyptus macrocarpa subsp. elachantha Brooker & Hopper,97
Eucalyptus educta,Eucalyptus educta L.A.S.Johnson & K.D.Hill,61
Eucalyptus crucis subsp. praecipua,Eucalyptus crucis subsp. praecipua Brooker & Hopper,32
Eucalyptus foecunda subsp. foecunda,NA,
Eucalyptus brevipes,Eucalyptus brevipes Brooker,71
Eucalyptus brandiana,Eucalyptus brandiana Hopper & McQuoid,27
Eucalyptus sweedmaniana,Eucalyptus sweedmaniana Hopper & McQuoid,12
Eucalyptus litorea,Eucalyptus litorea Brooker & Hopper,76
Eucalyptus distuberosa subsp. aerata,Eucalyptus distuberosa subsp. aerata D.Nicolle,19
Eucalyptus fraseri subsp. melanobasis,Eucalyptus fraseri subsp. melanobasis L.A.S.Johnson & K.D.Hill,43
Eucalyptus frenchiana,Eucalyptus frenchiana D.Nicolle,39
Eucalyptus argutifolia,Eucalyptus argutifolia Grayling & Brooker,100
Eucalyptus georgei subsp. fulgida,Eucalyptus georgei subsp. fulgida Brooker & Hopper,49
Eucalyptus exigua,Eucalyptus exigua Brooker & Hopper,82
Eucalyptus rowleyi,Eucalyptus rowleyi D.Nicolle & M.E.French,53
Eucalyptus absita,Eucalyptus absita Grayling & Brooker,64
Eucalyptus kenneallyi,Eucalyptus kenneallyi K.D.Hill & L.A.S.Johnson,4
Eucalyptus ordiana,Eucalyptus ordiana Dunlop & Done,59
Eucalyptus rudis subsp. cratyantha,Eucalyptus rudis subsp. cratyantha Brooker & Hopper,36
Eucalyptus urophylla,Eucalyptus urophylla S.T.Blake,349
Eucalyptus wetarensis,Eucalyptus wetarensis L.D.Pryor,26
Eucalyptus dolorosa,Eucalyptus dolorosa Brooker & Hopper,46
Eucalyptus exilis,Eucalyptus exilis Brooker,127
Eucalyptus calcicola subsp. calcicola,Eucalyptus calcicola subsp. Calcicola,45
Eucalyptus calcicola subsp. unita,Eucalyptus calcicola subsp. unita D.Nicolle,87
Eucalyptus ligulata subsp. ligulata,Eucalyptus ligulata subsp. Ligulata,97
Eucalyptus ligulata subsp. stirlingica,Eucalyptus ligulata subsp. stirlingica D.Nicolle,63
Eucalyptus preissiana subsp. lobata,Eucalyptus preissiana subsp. lobata Brooker & Slee,45
Eucalyptus insularis subsp. insularis,Eucalyptus insularis subsp. Insularis,10
