fullAPCname,binomialAPCname,binomialPOWOname,POWOinfra,taxonRank
Rhagodia candolleana,Rhagodia candolleana,Chenopodium candolleanum,,SPECIES
Hibiscus tiliaceus,Hibiscus tiliaceus,Talipariti tiliaceum,,SPECIES
Spyridium parvifolium,Spyridium parvifolium,Cryptandra parvifolia,,SPECIES
Microsorum pustulatum,Microsorum pustulatum,Zealandia pustulata,,SPECIES
Arthropodium strictum,Arthropodium strictum,Dichopogon strictus,,SPECIES
Microlaena stipoides,Microlaena stipoides,Ehrharta stipoides,,SPECIES
Cyathea australis,Cyathea australis,Alsophila australis,,SPECIES
Leucophyta brownii,Leucophyta brownii,Calocephalus brownii,,SPECIES
Phytolacca octandra,Phytolacca octandra,Phytolacca icosandra,,SPECIES
Leucopogon parviflorus,Leucopogon parviflorus,Leptecophylla parvifolia,,SPECIES
Glossodia major,Glossodia major,Caladenia major,,SPECIES
Ceriops australis,Ceriops australis,Ceriops tagal,,SPECIES
Maclura cochinchinensis,Maclura cochinchinensis,Cudrania cochinchinensis,,SPECIES
Callitris gracilis,Callitris gracilis,Callitris preissii,,SPECIES
Microsorum scandens,Microsorum scandens,Dendroconche scandens,,SPECIES
Olearia lirata,Olearia lirata,Olearia lyrata,,SPECIES
Acacia longifolia sophorae,Acacia longifolia,Acacia sophorae,sophorae,SUBSPECIES
Astroloma humifusum,Astroloma humifusum,Styphelia humifusa,,SPECIES
Drosera porrecta,Drosera porrecta,Drosera stolonifera,,SPECIES
Alchornea ilicifolia,Alchornea ilicifolia,Alchornea aquifolia,,SPECIES
Boronia coerulescens,Boronia coerulescens,Cyanothamnus coerulescens,,SPECIES
Scaevola taccada,Scaevola taccada,Scaevola sericea,,SPECIES
Cleome viscosa,Cleome viscosa,Arivela viscosa,,SPECIES
Blechnum wattsii,Blechnum wattsii,Parablechnum wattsii,,SPECIES
Cissus sterculiifolia,Cissus sterculiifolia,Nothocissus sterculiifolia,,SPECIES
Cyanicula caerulea,Cyanicula caerulea,Caladenia caerulea,,SPECIES
Elythranthera emarginata,Elythranthera emarginata,Caladenia emarginata,,SPECIES
Calandrinia granulifera,Calandrinia granulifera,Calandrinia pygmaea,,SPECIES
Orites revolutus,Orites revolutus,Orites revoluta,,SPECIES
Acianthus pusillus,Acianthus pusillus,Acianthus exsertus,,SPECIES
Cyanicula ixioides,Cyanicula ixioides,Caladenia ixioides,,SPECIES
Myoporum montanum,Myoporum montanum,Myoporum tenuifolium,,SPECIES
Drosera burmanni,Drosera burmanni,Drosera spatulata,,SPECIES
Drosera lanata,Drosera lanata,Drosera ordensis,,SPECIES
Leucopogon muticus,Leucopogon muticus,Styphelia mutica,,SPECIES
Billardiera mutabilis,Billardiera mutabilis,Billardiera scandens,,SPECIES
Megathyrsus maximus,Megathyrsus maximus,Panicum maximum,,SPECIES
Boronia polygalifolia,Boronia polygalifolia,Cyanothamnus polygalifolius,,SPECIES
Elythranthera brunonis,Elythranthera brunonis,Caladenia brunonis,,SPECIES
Azorella macquariensis,Azorella macquariensis,Azorella selago,,SPECIES
Blechnum nudum,Blechnum nudum,Lomaria nuda,,SPECIES
Siloxerus multiflorus,Siloxerus multiflorus,Rutidosis multiflora,,SPECIES
Dyschoriste depressa,Dyschoriste depressa,Dyschoriste nagchana,,SPECIES
Microsorum pustulatum pustulatum,Microsorum pustulatum,Zealandia pustulata,,SPECIES
Cyathea cooperi,Cyathea cooperi,Sphaeropteris cooperi,,SPECIES
Callistachys lanceolata,Callistachys lanceolata,Oxylobium lanceolatum,,SPECIES
Drosera roseana,Drosera roseana,Drosera paleacea,,SPECIES
Indigofera decora,Indigofera decora,Indigofera incarnata,,SPECIES
Microseris walteri,Microseris walteri,Microseris lanceolata,,SPECIES
Billardiera fraseri,Billardiera fraseri,Pronaya fraseri,,SPECIES
Tetrarrhena juncea,Tetrarrhena juncea,Ehrharta juncea,,SPECIES
Senecio quadridentatus,Senecio quadridentatus,Erechtites quadridentata,,SPECIES
Eucalyptus sideroxylon A. Cunn.,Eucalyptus sideroxylon,Eucalyptus leucoxylon,,SPECIES
Hybanthus calycinus (DC) F. Muell.,Hybanthus calycinus,Pigea calycina,,SPECIES
Microtis media ssp. densiflora,Microtis media,Microtis densiflora,densiflora,SUBSPECIES
Cleome viscosa L.,Cleome viscosa,Arivela viscosa,,SPECIES
Euphorbia cyathophora Murray,Euphorbia cyathophora,Euphorbia heterophylla,,SPECIES
Bauhinia cunninghamii Benth.,Bauhinia cunninghamii,Lysiphyllum cunninghamii,,SPECIES
Hybanthus enneaspermus ssp. stellarioides,Hybanthus enneaspermus,Afrohybanthus stellarioides,stellarioides,SUBSPECIES
Cleome oxalidea F. Muell.,Cleome oxalidea,Areocleome oxalidea,,SPECIES
Alyogyne cuneiformis (DC) Lewton,Alyogyne cuneiformis,Hibiscus cuneiformis,,SPECIES
Alyogyne huegelii var. glabrescens,Alyogyne huegelii,Hibiscus huegelii,,SPECIES
Alyogyne hakeifolia (Giord.) Alef.,Alyogyne hakeifolia,Hibiscus hakeifolius,,SPECIES
Rostellularia adscendens (R.Br.) R.M. Barker,Rostellularia adscendens,Justicia adscendens,,SPECIES
Stylidium semipartitum F. Muell.,Stylidium semipartitum,Stylidium leptorhizum,,SPECIES
Pleurosorus rutifolius (R. Br.) Fee,Pleurosorus rutifolius,Asplenium pleurosorum,,SPECIES
Spyridium parvifolium F. Muell.,Spyridium parvifolium,Cryptandra parvifolia,,SPECIES
Rhagodia spinescens R. Br.,Rhagodia spinescens,Chenopodium spinescens,,SPECIES
Acacia longifolia ssp. sophorae,Acacia longifolia,Acacia sophorae,sophorae,SUBSPECIES
Isotoma petraea F. Muell.,Isotoma petraea,Lithotoma petraea,,SPECIES
Alyogyne huegelii (Endl.) Fryxell,Alyogyne huegelii,Hibiscus huegelii,,SPECIES
